fp_id,area_m2,mean_height_m,max_height_m,osm_matched,osm_id,osm_tag,osm_name,osm_iou,osm_overlap_pct,category_estimated,description
1,6460.35,7.15,25.0,True,1225634547,retail,,0.0929,100.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=1225634547, tag=retail)"
3,3334.88,7.0,14.9,True,158479127,yes,,0.0784,100.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=158479127, tag=yes)"
6,2202.91,5.76,13.5,True,310374390,residential,,0.0823,100.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=310374390, tag=residential)"
8,2103.85,10.9,90.8,True,237386032,retail,Bârlog Pub & Brewery,0.4789,86.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=237386032, tag=retail)"
9,2016.81,13.5,25.9,True,260081502,university,Rectorat,0.6593,84.4,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=260081502, tag=university)"
11,1711.9,5.07,10.1,True,276735664,house,,0.1246,96.4,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735664, tag=house)"
14,1493.46,5.1,8.9,True,275157458,yes,Mecanizare ateliere,0.6544,86.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275157458, tag=yes)"
15,1474.52,5.03,9.3,True,297540957,apartments,,0.2186,56.7,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=297540957, tag=apartments)"
23,1145.48,5.87,11.1,True,276735396,house,,0.2008,99.2,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735396, tag=house)"
24,1118.26,13.9,24.9,True,1075024428,apartments,,0.4232,78.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=1075024428, tag=apartments)"
26,1106.23,20.5,38.1,True,188111237,apartments,,0.4059,93.6,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=188111237, tag=apartments)"
27,1027.7,7.9,17.2,True,1323698486,apartments,,0.207,87.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=1323698486, tag=apartments)"
29,992.93,5.04,7.9,True,276735691,house,,0.1488,99.7,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735691, tag=house)"
31,967.43,4.3,10.3,True,275159804,yes,,0.137,100.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159804, tag=yes)"
32,955.35,5.45,15.6,True,316635689,house,,0.256,95.8,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=316635689, tag=house)"
34,898.91,11.1,20.0,True,275157450,yes,Hotel Pami,0.6016,95.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275157450, tag=yes)"
38,849.43,18.7,31.2,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (849.4 mp, H=18.7m)"
39,804.88,7.5,15.2,True,275157473,chapel,Capela Cimitir Mănăștur,0.4877,75.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275157473, tag=chapel)"
48,706.04,6.9,11.3,True,276735434,house,,0.2298,82.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735434, tag=house)"
54,648.11,4.9,9.2,True,411801540,house,,0.174,88.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=411801540, tag=house)"
56,647.52,16.55,21.2,True,275157468,apartments,,0.4044,60.4,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275157468, tag=apartments)"
