ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
REF_TIER1_001,NONE (RATATA),False,0.0000,0.000,0.000,0.000,294.55,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_002,NONE (RATATA),False,0.0000,0.000,0.000,0.000,1257.26,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_003,NONE (RATATA),False,0.0000,0.000,0.000,0.000,1568.98,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_004,NONE (RATATA),False,0.0000,0.000,0.000,0.000,1790.82,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_005,LIDAR_173,True,0.6581,5.152,16.312,6.243,1442.69,1953.00,510.31,35.37,196.96,456.00,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_006,LIDAR_181,True,0.9324,0.650,2.124,0.254,1126.79,1164.00,37.21,3.30,169.80,220.00,0.00,REJECT,"ERORE_CONTUR_MARE"
REF_TIER1_007,NONE (RATATA),False,0.0000,0.000,0.000,0.000,818.34,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_008,LIDAR_255,True,0.5836,4.521,13.868,3.231,448.55,766.00,317.45,70.77,107.97,240.00,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_009,NONE (RATATA),False,0.0000,0.000,0.000,0.000,148.54,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_010,NONE (RATATA),False,0.0000,0.000,0.000,0.000,114.69,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_011,NONE (RATATA),False,0.0000,0.000,0.000,0.000,143.12,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_012,NONE (RATATA),False,0.0000,0.000,0.000,0.000,192.82,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_013,NONE (RATATA),False,0.0000,0.000,0.000,0.000,92.18,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_014,NONE (RATATA),False,0.0000,0.000,0.000,0.000,443.91,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_015,NONE (RATATA),False,0.0000,0.000,0.000,0.000,37.15,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_016,NONE (RATATA),False,0.0000,0.000,0.000,0.000,30.94,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_017,NONE (RATATA),False,0.0000,0.000,0.000,0.000,1484.51,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_018,NONE (RATATA),False,0.0000,0.000,0.000,0.000,286.05,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_019,LIDAR_132,True,0.7828,1.031,4.003,1.125,172.33,202.00,29.67,17.22,69.37,112.00,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_020,LIDAR_161,True,0.6114,4.681,12.924,2.600,1450.30,901.00,-549.30,-37.87,155.29,202.00,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_021,LIDAR_147,True,0.5899,1.638,3.693,1.049,307.59,188.00,-119.59,-38.88,95.29,130.00,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_022,NONE (RATATA),False,0.0000,0.000,0.000,0.000,104.57,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_023,NONE (RATATA),False,0.0000,0.000,0.000,0.000,819.82,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_024,NONE (RATATA),False,0.0000,0.000,0.000,0.000,2992.55,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_025,NONE (RATATA),False,0.0000,0.000,0.000,0.000,1460.09,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_026,NONE (RATATA),False,0.0000,0.000,0.000,0.000,2841.10,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_027,NONE (RATATA),False,0.0000,0.000,0.000,0.000,2669.74,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_028,NONE (RATATA),False,0.0000,0.000,0.000,0.000,820.85,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
