ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
REF_TIER1_001,OPTIC_065,True,0.7947,0.865,2.048,1.203,294.55,370.57,76.02,25.81,94.72,102.20,14.02,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_002,OPTIC_002,True,0.2877,29.302,71.639,25.909,1257.26,4361.79,3104.53,246.93,170.42,648.32,9.50,REJECT,"SUB_SEGMENTARE_MERGED;ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_003,OPTIC_008,True,0.8214,1.694,7.593,3.341,1568.98,1710.61,141.63,9.03,252.50,262.91,10.95,REJECT,"ERORE_CONTUR_MARE"
REF_TIER1_004,OPTIC_002,True,0.2102,47.602,110.235,51.783,1790.82,4361.79,2570.97,143.56,188.00,648.32,9.50,REJECT,"SUB_SEGMENTARE_MERGED;ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_005,OPTIC_009,True,0.8058,1.824,4.701,0.454,1442.69,1695.15,252.46,17.50,196.96,257.50,6.72,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_006,OPTIC_015,True,0.8740,1.199,4.184,0.259,1126.79,1282.12,155.33,13.79,169.80,204.54,10.93,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_007,OPTIC_002,True,0.1876,37.862,83.108,48.822,818.34,4361.79,3543.45,433.00,177.42,648.32,9.50,REJECT,"SUB_SEGMENTARE_MERGED;ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_008,OPTIC_034,True,0.6867,3.081,11.239,3.816,448.55,624.36,175.81,39.20,107.97,130.87,6.95,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_009,OPTIC_088,True,0.6842,1.380,2.740,0.236,148.54,217.11,68.57,46.16,49.24,62.45,9.08,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_010,OPTIC_089,True,0.5334,2.287,4.407,1.356,114.69,215.02,100.33,87.48,43.98,62.35,10.30,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_011,OPTIC_096,True,0.6882,1.410,3.371,0.788,143.12,207.96,64.84,45.30,47.85,64.28,3.13,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_012,OPTIC_082,True,0.7618,1.019,1.943,0.331,192.82,249.44,56.62,29.36,58.64,68.05,9.64,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_013,OPTIC_093,True,0.3033,4.101,9.476,4.047,92.18,221.59,129.41,140.39,42.06,75.26,13.12,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_014,OPTIC_002,True,0.1018,50.187,93.525,42.417,443.91,4361.79,3917.88,882.58,96.54,648.32,9.50,REJECT,"SUB_SEGMENTARE_MERGED;ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_015,NONE (RATATA),False,0.0000,0.000,0.000,0.000,37.15,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_016,NONE (RATATA),False,0.0000,0.000,0.000,0.000,30.94,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_017,OPTIC_016,True,0.4774,9.066,28.250,13.273,1484.51,1262.08,-222.43,-14.98,211.75,191.80,6.46,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
