ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
REF_TIER1_001,21,True,0.9220,0.730,3.421,0.164,1118.84,1155.15,36.31,3.25,156.97,209.09,0.00,REJECT,"ERORE_CONTUR_MARE"
REF_TIER1_002,NONE (RATATA),False,0.0000,0.000,0.000,0.000,33235.17,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_003,16,True,0.8733,0.880,2.713,1.157,1460.09,1463.41,3.32,0.23,251.44,328.17,0.00,REJECT,"ERORE_CONTUR_MARE"
REF_TIER1_004,NONE (RATATA),False,0.0000,0.000,0.000,0.000,9540.35,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_005,NONE (RATATA),False,0.0000,0.000,0.000,0.000,16448.43,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_006,14,True,0.1039,46.644,102.212,38.093,14379.41,1493.46,-12885.95,-89.61,609.73,269.02,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
REF_TIER1_007,NONE (RATATA),False,0.0000,0.000,0.000,0.000,124306.80,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_008,NONE (RATATA),False,0.0000,0.000,0.000,0.000,85821.52,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_009,NONE (RATATA),False,0.0000,0.000,0.000,0.000,26742.68,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
REF_TIER1_010,NONE (RATATA),False,0.0000,0.000,0.000,0.000,49337.29,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
