id,area_m2,vertices,conf_final,action_code,t_manual_sec,t_assisted_sec,time_saved_sec,reduction_pct
1,4500.45,54,0.485,ROSU_RESPINS_ARTEFACT,481.72,29.02,452.69,93.97
3,1780.87,131,0.498,ROSU_RESPINS_ARTEFACT,849.84,32.91,816.93,96.13
4,1698.89,94,0.451,ROSU_RESPINS_ARTEFACT,633.32,21.57,611.75,96.59
5,1647.1,237,0.455,ROSU_RESPINS_ARTEFACT,1353.01,23.13,1329.87,98.29
6,1592.39,133,0.528,ROSU_RESPINS_ARTEFACT,860.27,27.47,832.8,96.81
7,1547.21,116,0.558,ROSU_RESPINS_ARTEFACT,760.61,28.74,731.88,96.22
8,1461.03,138,0.52,ROSU_RESPINS_ARTEFACT,866.61,34.31,832.3,96.04
9,1325.1,127,0.498,ROSU_RESPINS_ARTEFACT,768.59,31.18,737.41,95.94
10,1231.79,131,0.47,ROSU_RESPINS_ARTEFACT,848.14,22.8,825.33,97.31
12,1227.34,52,0.584,ROSU_RESPINS_ARTEFACT,447.33,21.38,425.95,95.22
14,1194.74,125,0.557,ROSU_RESPINS_ARTEFACT,809.71,35.35,774.36,95.63
16,1079.87,67,0.467,ROSU_RESPINS_ARTEFACT,528.71,35.07,493.64,93.37
17,1063.06,127,0.542,ROSU_RESPINS_ARTEFACT,789.04,34.26,754.78,95.66
19,883.6,150,0.519,ROSU_RESPINS_ARTEFACT,969.92,26.97,942.95,97.22
20,883.54,85,0.565,ROSU_RESPINS_ARTEFACT,635.2,17.1,618.1,97.31
22,857.17,196,0.443,ROSU_RESPINS_ARTEFACT,1174.91,20.26,1154.65,98.28
23,847.95,74,0.463,ROSU_RESPINS_ARTEFACT,567.08,26.15,540.93,95.39
25,803.49,105,0.479,ROSU_RESPINS_ARTEFACT,706.76,32.76,674.0,95.36
29,732.13,76,0.531,ROSU_RESPINS_ARTEFACT,560.25,28.23,532.02,94.96
31,718.98,87,0.58,ROSU_RESPINS_ARTEFACT,602.7,29.02,573.68,95.18
32,714.36,54,0.552,ROSU_RESPINS_ARTEFACT,421.14,29.39,391.75,93.02
33,688.22,93,0.563,ROSU_RESPINS_ARTEFACT,669.65,29.82,639.82,95.55
37,630.25,82,0.453,ROSU_RESPINS_ARTEFACT,586.51,29.23,557.28,95.02
39,642.42,117,0.508,ROSU_RESPINS_ARTEFACT,769.47,33.95,735.51,95.59
41,630.64,61,0.579,ROSU_RESPINS_ARTEFACT,502.94,33.13,469.81,93.41
42,627.86,58,0.484,ROSU_RESPINS_ARTEFACT,496.91,27.68,469.23,94.43
43,626.69,103,0.537,ROSU_RESPINS_ARTEFACT,668.12,25.6,642.53,96.17
44,614.52,83,0.533,ROSU_RESPINS_ARTEFACT,621.98,24.04,597.94,96.13
45,605.08,79,0.478,ROSU_RESPINS_ARTEFACT,572.13,31.49,540.64,94.5
50,583.51,56,0.631,ROSU_RESPINS_ARTEFACT,458.87,31.68,427.19,93.1
51,576.72,52,0.345,ROSU_RESPINS_ARTEFACT,444.19,31.66,412.53,92.87
52,575.07,87,0.564,ROSU_RESPINS_ARTEFACT,614.77,33.48,581.29,94.55
55,554.59,90,0.501,ROSU_RESPINS_ARTEFACT,631.65,35.01,596.64,94.46
56,550.26,60,0.515,ROSU_RESPINS_ARTEFACT,516.1,26.43,489.67,94.88
57,549.7,57,0.484,ROSU_RESPINS_ARTEFACT,454.38,31.58,422.8,93.05
62,512.5,65,0.51,ROSU_RESPINS_ARTEFACT,537.8,43.8,494.0,91.86
66,487.97,55,0.649,ROSU_RESPINS_ARTEFACT,456.11,29.08,427.03,93.62
69,473.25,11,0.565,ROSU_RESPINS_ARTEFACT,245.43,22.62,222.81,90.78
70,470.93,48,0.56,ROSU_RESPINS_ARTEFACT,415.19,31.06,384.13,92.52
74,457.57,45,0.562,ROSU_RESPINS_ARTEFACT,413.67,24.48,389.19,94.08
75,454.96,64,0.504,ROSU_RESPINS_ARTEFACT,534.6,23.31,511.29,95.64
76,446.13,59,0.652,GALBEN_INSPECTIE_GEODEZ,478.79,26.75,452.04,94.41
82,422.77,35,0.507,ROSU_RESPINS_ARTEFACT,390.9,28.62,362.28,92.68
83,421.85,45,0.544,ROSU_RESPINS_ARTEFACT,410.8,30.6,380.19,92.55
84,421.75,59,0.45,ROSU_RESPINS_ARTEFACT,500.72,27.84,472.88,94.44
90,402.43,80,0.564,ROSU_RESPINS_ARTEFACT,583.0,33.59,549.41,94.24
95,385.53,47,0.486,ROSU_RESPINS_ARTEFACT,405.46,40.91,364.55,89.91
99,380.49,66,0.559,ROSU_RESPINS_ARTEFACT,511.33,34.46,476.87,93.26
100,379.5,64,0.495,ROSU_RESPINS_ARTEFACT,505.52,24.19,481.33,95.21
102,370.42,46,0.556,ROSU_RESPINS_ARTEFACT,413.89,32.22,381.67,92.22
105,369.09,43,0.528,ROSU_RESPINS_ARTEFACT,419.4,22.6,396.8,94.61
106,368.79,44,0.58,ROSU_RESPINS_ARTEFACT,399.13,34.07,365.06,91.46
107,364.8,28,0.537,ROSU_RESPINS_ARTEFACT,263.71,28.93,234.78,89.03
111,355.36,86,0.478,ROSU_RESPINS_ARTEFACT,583.76,30.85,552.91,94.72
112,351.61,60,0.557,ROSU_RESPINS_ARTEFACT,513.48,25.29,488.19,95.08
113,350.95,38,0.507,ROSU_RESPINS_ARTEFACT,376.28,28.27,348.01,92.49
114,349.56,38,0.535,ROSU_RESPINS_ARTEFACT,389.14,40.86,348.28,89.5
115,348.21,66,0.551,ROSU_RESPINS_ARTEFACT,494.27,27.08,467.19,94.52
117,347.83,46,0.584,ROSU_RESPINS_ARTEFACT,409.14,31.98,377.16,92.18
118,346.38,53,0.555,ROSU_RESPINS_ARTEFACT,454.29,33.34,420.95,92.66
124,339.39,38,0.494,ROSU_RESPINS_ARTEFACT,373.61,30.09,343.52,91.95
126,336.1,28,0.554,ROSU_RESPINS_ARTEFACT,330.43,29.18,301.24,91.17
127,335.96,44,0.767,GALBEN_INSPECTIE_GEODEZ,423.64,19.11,404.53,95.49
129,324.58,35,0.557,ROSU_RESPINS_ARTEFACT,362.59,29.54,333.05,91.85
142,313.0,34,0.635,ROSU_RESPINS_ARTEFACT,366.35,25.16,341.19,93.13
145,307.88,29,0.682,GALBEN_INSPECTIE_GEODEZ,332.07,17.08,314.99,94.86
146,307.35,12,0.488,ROSU_RESPINS_ARTEFACT,235.82,35.07,200.75,85.13
148,303.05,54,0.529,ROSU_RESPINS_ARTEFACT,448.11,27.38,420.74,93.89
150,302.78,32,0.623,ROSU_RESPINS_ARTEFACT,332.77,27.84,304.93,91.63
151,301.69,72,0.532,ROSU_RESPINS_ARTEFACT,518.6,29.13,489.48,94.38
155,298.36,46,0.5,ROSU_RESPINS_ARTEFACT,436.05,30.1,405.95,93.1
159,294.6,35,0.529,ROSU_RESPINS_ARTEFACT,343.99,26.06,317.93,92.42
160,293.94,59,0.566,ROSU_RESPINS_ARTEFACT,497.36,33.65,463.72,93.24
162,292.63,50,0.572,ROSU_RESPINS_ARTEFACT,431.03,26.33,404.7,93.89
168,288.43,36,0.576,ROSU_RESPINS_ARTEFACT,392.95,40.96,351.98,89.58
170,287.59,25,0.45,ROSU_RESPINS_ARTEFACT,322.57,26.15,296.42,91.89
173,286.68,42,0.55,ROSU_RESPINS_ARTEFACT,349.71,26.4,323.32,92.45
174,284.85,38,0.496,ROSU_RESPINS_ARTEFACT,409.08,27.31,381.77,93.32
176,282.0,36,0.532,ROSU_RESPINS_ARTEFACT,352.79,36.09,316.7,89.77
177,271.54,23,0.442,ROSU_RESPINS_ARTEFACT,299.73,36.38,263.34,87.86
182,274.43,20,0.555,ROSU_RESPINS_ARTEFACT,258.53,27.94,230.58,89.19
183,274.11,40,0.523,ROSU_RESPINS_ARTEFACT,388.26,32.77,355.49,91.56
187,265.0,40,0.515,ROSU_RESPINS_ARTEFACT,381.86,31.86,350.01,91.66
194,265.61,33,0.57,ROSU_RESPINS_ARTEFACT,357.35,30.53,326.82,91.46
196,263.0,44,0.565,ROSU_RESPINS_ARTEFACT,449.47,33.42,416.05,92.56
198,261.61,32,0.559,ROSU_RESPINS_ARTEFACT,377.4,21.4,356.0,94.33
210,252.36,43,0.538,ROSU_RESPINS_ARTEFACT,374.56,37.71,336.86,89.93
213,245.47,41,0.507,ROSU_RESPINS_ARTEFACT,369.07,29.92,339.15,91.89
223,247.85,50,0.546,ROSU_RESPINS_ARTEFACT,415.08,23.67,391.4,94.3
224,246.74,24,0.7,GALBEN_INSPECTIE_GEODEZ,301.49,12.02,289.47,96.01
225,246.62,26,0.565,ROSU_RESPINS_ARTEFACT,311.04,27.54,283.5,91.14
237,239.16,29,0.549,ROSU_RESPINS_ARTEFACT,300.72,24.21,276.51,91.95
241,238.03,33,0.59,ROSU_RESPINS_ARTEFACT,372.96,29.63,343.33,92.05
242,230.78,32,0.486,ROSU_RESPINS_ARTEFACT,349.6,27.32,322.29,92.19
243,236.19,38,0.593,ROSU_RESPINS_ARTEFACT,352.12,38.42,313.7,89.09
244,234.53,50,0.533,ROSU_RESPINS_ARTEFACT,462.51,35.79,426.72,92.26
245,234.13,32,0.5,ROSU_RESPINS_ARTEFACT,320.65,26.41,294.24,91.76
250,217.58,60,0.503,ROSU_RESPINS_ARTEFACT,460.95,34.6,426.35,92.49
255,226.06,37,0.459,ROSU_RESPINS_ARTEFACT,371.32,37.81,333.51,89.82
257,224.36,40,0.475,ROSU_RESPINS_ARTEFACT,378.61,23.28,355.33,93.85
259,184.4,30,0.511,ROSU_RESPINS_ARTEFACT,346.16,26.94,319.22,92.22
263,219.14,40,0.576,ROSU_RESPINS_ARTEFACT,364.75,26.04,338.71,92.86
265,218.17,47,0.628,ROSU_RESPINS_ARTEFACT,413.68,27.31,386.37,93.4
266,217.57,46,0.545,ROSU_RESPINS_ARTEFACT,417.9,33.95,383.95,91.88
271,214.28,40,0.49,ROSU_RESPINS_ARTEFACT,359.29,26.38,332.91,92.66
275,211.28,25,0.516,ROSU_RESPINS_ARTEFACT,277.44,25.67,251.77,90.75
280,206.39,33,0.507,ROSU_RESPINS_ARTEFACT,340.79,26.94,313.85,92.1
281,199.51,26,0.547,ROSU_RESPINS_ARTEFACT,314.84,27.31,287.53,91.33
283,205.77,34,0.62,ROSU_RESPINS_ARTEFACT,379.78,17.84,361.94,95.3
285,204.39,29,0.566,ROSU_RESPINS_ARTEFACT,321.46,27.17,294.29,91.55
286,203.69,36,0.6,ROSU_RESPINS_ARTEFACT,381.57,31.88,349.69,91.64
288,202.22,41,0.518,ROSU_RESPINS_ARTEFACT,379.35,28.09,351.26,92.6
289,201.78,49,0.585,ROSU_RESPINS_ARTEFACT,452.57,36.2,416.37,92.0
