ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
1,1,True,0.9654,0.409,0.566,0.208,6460.35,6237.11,-223.24,-3.46,559.70,556.50,0.00,REJECT,"ERORE_CONTUR_MARE"
2,2,True,0.9323,0.409,0.648,0.092,3958.79,3690.65,-268.14,-6.77,672.12,668.70,0.00,REJECT,"ERORE_CONTUR_MARE"
3,3,True,0.9296,0.412,0.974,0.647,3334.88,3099.98,-234.90,-7.04,588.91,584.74,0.00,REJECT,"ERORE_CONTUR_MARE"
6,6,True,0.9451,0.412,0.566,0.115,2202.91,2082.06,-120.85,-5.49,303.73,300.53,0.00,REJECT,"ERORE_CONTUR_MARE"
8,8,True,0.9409,0.409,0.566,0.348,2103.85,1979.44,-124.41,-5.91,312.62,309.42,0.00,REJECT,"ERORE_CONTUR_MARE"
9,9,True,0.9343,0.786,6.576,0.478,2016.81,1884.28,-132.53,-6.57,309.15,288.95,0.00,REJECT,"ERORE_CONTUR_MARE"
11,11,True,0.8965,0.414,0.566,0.300,1711.90,1534.74,-177.16,-10.35,444.49,441.29,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
12,12,True,0.9323,0.408,0.566,0.044,1551.28,1446.21,-105.07,-6.77,264.27,261.08,0.05,REJECT,"ERORE_CONTUR_MARE"
13,13,True,0.9318,0.420,1.456,0.058,1535.20,1430.44,-104.76,-6.82,263.63,258.43,0.00,REJECT,"ERORE_CONTUR_MARE"
14,14,True,0.9284,0.409,0.566,0.195,1493.46,1386.49,-106.97,-7.16,269.02,265.82,0.00,REJECT,"ERORE_CONTUR_MARE"
15,15,True,0.9019,0.521,3.590,0.591,1474.52,1329.91,-144.61,-9.81,360.09,345.17,0.00,REJECT,"ERORE_CONTUR_MARE"
16,16,True,0.9107,0.413,0.566,0.198,1463.41,1332.79,-130.62,-8.93,328.17,324.97,0.00,REJECT,"ERORE_CONTUR_MARE"
18,18,True,0.8952,1.267,8.205,1.042,1388.57,1243.09,-145.48,-10.48,319.83,282.02,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
20,20,True,0.9480,0.408,0.566,0.063,1206.25,1143.50,-62.75,-5.20,158.48,155.28,0.00,REJECT,"ERORE_CONTUR_MARE"
21,21,True,0.9282,0.416,0.566,0.019,1155.15,1072.15,-83.00,-7.19,209.09,205.89,0.00,REJECT,"ERORE_CONTUR_MARE"
22,22,True,0.9345,0.424,1.800,0.070,1146.21,1071.08,-75.13,-6.55,190.07,184.16,0.00,REJECT,"ERORE_CONTUR_MARE"
23,23,True,0.9117,0.411,0.566,0.182,1145.48,1044.37,-101.11,-8.83,254.37,251.17,0.00,REJECT,"ERORE_CONTUR_MARE"
24,24,True,0.9436,0.409,0.566,0.103,1118.26,1055.17,-63.09,-5.64,159.32,156.12,0.00,REJECT,"ERORE_CONTUR_MARE"
26,26,True,0.9129,0.416,0.985,0.194,1106.23,1009.89,-96.34,-8.71,242.50,238.30,0.00,REJECT,"ERORE_CONTUR_MARE"
27,27,True,0.9112,0.412,0.566,0.168,1027.70,936.45,-91.25,-8.88,229.72,226.52,0.00,REJECT,"ERORE_CONTUR_MARE"
29,29,True,0.9116,0.409,0.566,0.228,992.93,905.12,-87.81,-8.84,221.14,217.94,0.00,REJECT,"ERORE_CONTUR_MARE"
31,31,True,0.9075,0.507,3.334,0.231,967.43,877.98,-89.45,-9.25,222.47,211.16,0.00,REJECT,"ERORE_CONTUR_MARE"
32,32,True,0.9063,0.408,0.566,0.285,955.35,865.86,-89.49,-9.37,225.33,222.13,0.01,REJECT,"ERORE_CONTUR_MARE"
34,34,True,0.9293,0.409,0.566,0.177,898.91,835.34,-63.57,-7.07,160.51,157.31,0.00,REJECT,"ERORE_CONTUR_MARE"
38,38,True,0.9275,0.412,0.571,0.076,849.43,787.87,-61.56,-7.25,155.51,152.31,0.03,REJECT,"ERORE_CONTUR_MARE"
39,39,True,0.9334,0.410,0.566,0.056,804.88,751.31,-53.57,-6.66,135.52,132.32,0.00,REJECT,"ERORE_CONTUR_MARE"
48,48,True,0.8968,0.414,0.566,0.145,706.04,633.15,-72.89,-10.32,183.83,180.63,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
54,54,True,0.8805,0.588,4.113,0.219,648.11,570.65,-77.46,-11.95,195.17,181.92,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
56,56,True,0.9083,0.410,0.566,0.101,647.52,588.14,-59.38,-9.17,150.05,146.85,0.00,REJECT,"ERORE_CONTUR_MARE"
57,57,True,0.9254,0.406,0.566,0.111,628.16,581.27,-46.89,-7.46,118.83,115.63,0.00,REJECT,"ERORE_CONTUR_MARE"
61,61,True,0.8855,0.409,0.566,0.278,608.88,539.17,-69.71,-11.45,175.87,172.67,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
62,62,True,0.9272,0.408,0.566,0.025,606.35,562.21,-44.14,-7.28,111.96,108.76,0.01,REJECT,"ERORE_CONTUR_MARE"
72,72,True,0.9043,0.407,0.566,0.142,560.41,506.77,-53.64,-9.57,135.68,132.48,0.00,REJECT,"ERORE_CONTUR_MARE"
77,77,True,0.9072,0.407,0.566,0.164,545.88,495.25,-50.63,-9.27,128.18,124.98,0.00,REJECT,"ERORE_CONTUR_MARE"
80,80,True,0.9274,0.406,0.566,0.026,537.04,498.07,-38.97,-7.26,99.03,95.83,0.00,REJECT,"ERORE_CONTUR_MARE"
82,82,True,0.8448,0.412,0.566,0.206,524.73,443.26,-81.47,-15.53,205.26,202.06,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
85,85,True,0.9069,0.409,0.566,0.115,511.92,464.26,-47.66,-9.31,120.76,117.56,0.00,REJECT,"ERORE_CONTUR_MARE"
86,86,True,0.9003,0.412,0.566,0.078,510.71,459.79,-50.92,-9.97,128.90,125.70,0.00,REJECT,"ERORE_CONTUR_MARE"
87,87,True,0.9018,0.410,0.566,0.204,501.11,451.91,-49.20,-9.82,124.59,121.39,0.00,REJECT,"ERORE_CONTUR_MARE"
89,89,True,0.9098,0.406,0.566,0.185,492.75,448.32,-44.43,-9.02,112.67,109.47,0.00,REJECT,"ERORE_CONTUR_MARE"
90,90,True,0.8804,0.413,0.566,0.201,489.54,431.00,-58.54,-11.96,147.96,144.76,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
91,91,True,0.9105,0.412,0.566,0.003,493.15,449.03,-44.12,-8.95,111.91,108.71,0.00,REJECT,"ERORE_CONTUR_MARE"
93,93,True,0.8736,0.410,0.566,0.234,491.53,429.40,-62.13,-12.64,156.93,153.73,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
95,95,True,0.9113,0.406,0.566,0.043,465.08,423.83,-41.25,-8.87,104.72,101.52,0.00,REJECT,"ERORE_CONTUR_MARE"
97,97,True,0.9077,0.411,0.566,0.048,457.35,415.12,-42.23,-9.23,107.18,103.98,0.01,REJECT,"ERORE_CONTUR_MARE"
103,103,True,0.9178,0.408,0.566,0.063,447.92,411.09,-36.83,-8.22,93.69,90.49,0.00,REJECT,"ERORE_CONTUR_MARE"
104,104,True,0.8838,0.448,1.915,0.037,444.99,393.29,-51.70,-11.62,131.72,124.85,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
105,105,True,0.8781,0.409,0.566,0.189,444.36,390.19,-54.17,-12.19,137.01,133.81,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
106,106,True,0.8952,0.409,0.566,0.070,444.28,397.70,-46.58,-10.48,118.04,114.84,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
108,108,True,0.9008,0.411,0.566,0.138,435.34,392.14,-43.20,-9.92,109.59,106.39,0.01,REJECT,"ERORE_CONTUR_MARE"
110,110,True,0.8974,0.410,0.566,0.133,437.05,392.22,-44.83,-10.26,113.67,110.47,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
111,111,True,0.9027,0.408,0.566,0.185,430.57,388.67,-41.90,-9.73,106.36,103.16,0.00,REJECT,"ERORE_CONTUR_MARE"
117,117,True,0.9048,0.410,0.566,0.098,417.43,377.69,-39.74,-9.52,100.94,97.74,0.00,REJECT,"ERORE_CONTUR_MARE"
118,118,True,0.8651,0.411,0.566,0.429,399.51,345.62,-53.89,-13.49,136.31,133.11,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
121,121,True,0.8924,0.406,0.566,0.021,394.93,352.42,-42.51,-10.76,107.88,104.68,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
127,127,True,0.8693,0.407,0.566,0.132,381.09,331.28,-49.81,-13.07,126.14,122.94,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
129,129,True,0.8505,0.411,0.566,0.097,380.69,323.78,-56.91,-14.95,143.88,140.68,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
130,130,True,0.8897,0.407,0.566,0.142,380.40,338.43,-41.97,-11.03,106.52,103.32,0.01,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
